plant_id_eia,technology_description,class_atb,cf_atb
60680,Solar Photovoltaic,6,0.2537975724560726
60681,Solar Photovoltaic,7,0.2408794703868765
60682,Solar Photovoltaic,2,0.30974988165310763
60684,Solar Photovoltaic,1,0.3202687659970471
60685,Solar Photovoltaic,1,0.3202687659970471
60686,Solar Photovoltaic,8,0.23163275150342633
60691,Solar Photovoltaic,6,0.2537975724560726
60692,Solar Photovoltaic,6,0.2537975724560726
60694,Solar Photovoltaic,9,0.22047669886675608
60695,Solar Photovoltaic,9,0.22047669886675608
60702,Solar Photovoltaic,5,0.26753870312354816
60704,Solar Photovoltaic,7,0.2408794703868765
60705,Solar Photovoltaic,7,0.2408794703868765
60706,Solar Photovoltaic,7,0.2408794703868765
60707,Solar Photovoltaic,7,0.2408794703868765
60708,Solar Photovoltaic,8,0.23163275150342633
60709,Solar Photovoltaic,8,0.23163275150342633
60710,Solar Photovoltaic,8,0.23163275150342633
60711,Solar Photovoltaic,9,0.22047669886675608
60712,Solar Photovoltaic,9,0.22047669886675608
60713,Solar Photovoltaic,9,0.22047669886675608
60714,Solar Photovoltaic,9,0.22047669886675608
60715,Solar Photovoltaic,9,0.22047669886675608
60716,Solar Photovoltaic,9,0.22047669886675608
60717,Solar Photovoltaic,9,0.22047669886675608
60719,Solar Photovoltaic,5,0.26753870312354816
60720,Solar Photovoltaic,5,0.26753870312354816
60722,Solar Photovoltaic,5,0.26753870312354816
60723,Solar Photovoltaic,3,0.2953626825189205
60724,Solar Photovoltaic,4,0.28148929329880334
60725,Solar Photovoltaic,5,0.26753870312354816
60726,Solar Photovoltaic,5,0.26753870312354816
60727,Solar Photovoltaic,8,0.23163275150342633
60728,Solar Photovoltaic,8,0.23163275150342633
60729,Solar Photovoltaic,8,0.23163275150342633
60730,Solar Photovoltaic,8,0.23163275150342633
60731,Solar Photovoltaic,8,0.23163275150342633
60732,Solar Photovoltaic,8,0.23163275150342633
60733,Solar Photovoltaic,8,0.23163275150342633
60734,Solar Photovoltaic,8,0.23163275150342633
60735,Solar Photovoltaic,7,0.2408794703868765
60736,Solar Photovoltaic,8,0.23163275150342633
60737,Solar Photovoltaic,7,0.2408794703868765
60738,Solar Photovoltaic,8,0.23163275150342633
60739,Solar Photovoltaic,8,0.23163275150342633
60740,Solar Photovoltaic,8,0.23163275150342633
60741,Solar Photovoltaic,5,0.26753870312354816
60744,Solar Photovoltaic,1,0.3202687659970471
60745,Solar Photovoltaic,1,0.3202687659970471
60746,Solar Photovoltaic,8,0.23163275150342633
60747,Solar Photovoltaic,8,0.23163275150342633
60748,Solar Photovoltaic,6,0.2537975724560726
60752,Solar Photovoltaic,8,0.23163275150342633
60753,Solar Photovoltaic,9,0.22047669886675608
60754,Solar Photovoltaic,8,0.23163275150342633
60755,Solar Photovoltaic,8,0.23163275150342633
60756,Solar Photovoltaic,8,0.23163275150342633
60757,Solar Photovoltaic,8,0.23163275150342633
60759,Solar Photovoltaic,8,0.23163275150342633
60761,Solar Photovoltaic,6,0.2537975724560726
60762,Solar Photovoltaic,8,0.23163275150342633
60763,Solar Photovoltaic,8,0.23163275150342633
60764,Solar Photovoltaic,4,0.28148929329880334
60765,Solar Photovoltaic,8,0.23163275150342633
60766,Solar Photovoltaic,8,0.23163275150342633
60767,Solar Photovoltaic,7,0.2408794703868765
60769,Solar Photovoltaic,7,0.2408794703868765
60771,Solar Photovoltaic,8,0.23163275150342633
60772,Solar Photovoltaic,7,0.2408794703868765
60774,Solar Photovoltaic,4,0.28148929329880334
60775,Solar Photovoltaic,9,0.22047669886675608
60776,Solar Photovoltaic,8,0.23163275150342633
60777,Solar Photovoltaic,3,0.2953626825189205
60778,Solar Photovoltaic,6,0.2537975724560726
60779,Solar Photovoltaic,6,0.2537975724560726
60780,Solar Photovoltaic,6,0.2537975724560726
60781,Solar Photovoltaic,8,0.23163275150342633
60782,Solar Photovoltaic,6,0.2537975724560726
60783,Solar Photovoltaic,6,0.2537975724560726
60784,Solar Photovoltaic,6,0.2537975724560726
60785,Solar Photovoltaic,4,0.28148929329880334
60787,Solar Photovoltaic,6,0.2537975724560726
60788,Solar Photovoltaic,5,0.26753870312354816
60789,Solar Photovoltaic,3,0.2953626825189205
60790,Solar Photovoltaic,2,0.30974988165310763
60791,Solar Photovoltaic,1,0.3202687659970471
60795,Solar Photovoltaic,9,0.22047669886675608
60796,Solar Photovoltaic,9,0.22047669886675608
60798,Solar Photovoltaic,6,0.2537975724560726
60799,Solar Photovoltaic,9,0.22047669886675608
60800,Solar Photovoltaic,6,0.2537975724560726
60801,Solar Photovoltaic,4,0.28148929329880334
60802,Solar Photovoltaic,7,0.2408794703868765
60803,Solar Photovoltaic,8,0.23163275150342633
60804,Solar Photovoltaic,8,0.23163275150342633
60805,Solar Photovoltaic,8,0.23163275150342633
60806,Solar Photovoltaic,8,0.23163275150342633
60808,Solar Photovoltaic,8,0.23163275150342633
60809,Solar Photovoltaic,8,0.23163275150342633
60810,Solar Photovoltaic,8,0.23163275150342633
60812,Solar Photovoltaic,4,0.28148929329880334
60813,Solar Photovoltaic,4,0.28148929329880334
60815,Solar Photovoltaic,9,0.22047669886675608
60816,Solar Photovoltaic,8,0.23163275150342633
60817,Solar Photovoltaic,9,0.22047669886675608
60818,Solar Photovoltaic,9,0.22047669886675608
60819,Solar Photovoltaic,9,0.22047669886675608
60820,Solar Photovoltaic,8,0.23163275150342633
60821,Solar Photovoltaic,5,0.26753870312354816
60822,Solar Photovoltaic,1,0.3202687659970471
60823,Solar Photovoltaic,8,0.23163275150342633
60824,Solar Photovoltaic,1,0.3202687659970471
60825,Solar Photovoltaic,1,0.3202687659970471
60826,Solar Photovoltaic,1,0.3202687659970471
60827,Solar Photovoltaic,1,0.3202687659970471
60828,Solar Photovoltaic,6,0.2537975724560726
60829,Solar Photovoltaic,6,0.2537975724560726
60830,Solar Photovoltaic,9,0.22047669886675608
60832,Solar Photovoltaic,9,0.22047669886675608
60833,Solar Photovoltaic,9,0.22047669886675608
60834,Solar Photovoltaic,9,0.22047669886675608
60835,Solar Photovoltaic,9,0.22047669886675608
60836,Solar Photovoltaic,9,0.22047669886675608
60837,Solar Photovoltaic,9,0.22047669886675608
60838,Solar Photovoltaic,9,0.22047669886675608
60839,Solar Photovoltaic,8,0.23163275150342633
60840,Solar Photovoltaic,8,0.23163275150342633
60841,Solar Photovoltaic,8,0.23163275150342633
60842,Solar Photovoltaic,8,0.23163275150342633
60843,Solar Photovoltaic,8,0.23163275150342633
60844,Solar Photovoltaic,3,0.2953626825189205
60846,Solar Photovoltaic,4,0.28148929329880334
60847,Solar Photovoltaic,9,0.22047669886675608
60848,Solar Photovoltaic,8,0.23163275150342633
60849,Solar Photovoltaic,8,0.23163275150342633
60850,Solar Photovoltaic,6,0.2537975724560726
60851,Solar Photovoltaic,8,0.23163275150342633
60852,Solar Photovoltaic,8,0.23163275150342633
60853,Solar Photovoltaic,6,0.2537975724560726
60854,Solar Photovoltaic,8,0.23163275150342633
60855,Solar Photovoltaic,9,0.22047669886675608
60857,Solar Photovoltaic,8,0.23163275150342633
60858,Solar Photovoltaic,8,0.23163275150342633
60859,Solar Photovoltaic,3,0.2953626825189205
60860,Solar Photovoltaic,10,0.20237932814438855
60861,Solar Photovoltaic,4,0.28148929329880334
60863,Solar Photovoltaic,8,0.23163275150342633
60864,Solar Photovoltaic,8,0.23163275150342633
60866,Solar Photovoltaic,9,0.22047669886675608
60867,Solar Photovoltaic,8,0.23163275150342633
60869,Solar Photovoltaic,1,0.3202687659970471
60872,Solar Photovoltaic,2,0.30974988165310763
60874,Solar Photovoltaic,9,0.22047669886675608
60875,Solar Photovoltaic,10,0.20237932814438855
60876,Solar Photovoltaic,8,0.23163275150342633
60877,Solar Photovoltaic,10,0.20237932814438855
60878,Solar Photovoltaic,8,0.23163275150342633
60879,Solar Photovoltaic,9,0.22047669886675608
60880,Solar Photovoltaic,8,0.23163275150342633
60881,Solar Photovoltaic,6,0.2537975724560726
60882,Solar Photovoltaic,6,0.2537975724560726
60884,Solar Photovoltaic,6,0.2537975724560726
60885,Solar Photovoltaic,2,0.30974988165310763
60886,Solar Photovoltaic,4,0.28148929329880334
60887,Solar Photovoltaic,9,0.22047669886675608
60888,Solar Photovoltaic,9,0.22047669886675608
60889,Solar Photovoltaic,9,0.22047669886675608
60890,Solar Photovoltaic,9,0.22047669886675608
60891,Solar Photovoltaic,9,0.22047669886675608
60892,Solar Photovoltaic,9,0.22047669886675608
60893,Solar Photovoltaic,8,0.23163275150342633
60894,Solar Photovoltaic,9,0.22047669886675608
60895,Solar Photovoltaic,9,0.22047669886675608
60896,Solar Photovoltaic,6,0.2537975724560726
60897,Solar Photovoltaic,6,0.2537975724560726
60898,Solar Photovoltaic,6,0.2537975724560726
60899,Solar Photovoltaic,6,0.2537975724560726
60900,Solar Photovoltaic,6,0.2537975724560726
60904,Solar Photovoltaic,9,0.22047669886675608
60906,Solar Photovoltaic,9,0.22047669886675608
60908,Solar Photovoltaic,9,0.22047669886675608
60909,Solar Photovoltaic,8,0.23163275150342633
60912,Solar Photovoltaic,9,0.22047669886675608
60913,Solar Photovoltaic,8,0.23163275150342633
60914,Solar Photovoltaic,3,0.2953626825189205
60915,Solar Photovoltaic,7,0.2408794703868765
60916,Solar Photovoltaic,7,0.2408794703868765
60917,Solar Photovoltaic,7,0.2408794703868765
60919,Solar Photovoltaic,9,0.22047669886675608
60920,Solar Photovoltaic,6,0.2537975724560726
60921,Solar Photovoltaic,6,0.2537975724560726
60922,Solar Photovoltaic,6,0.2537975724560726
60923,Solar Photovoltaic,9,0.22047669886675608
60924,Solar Photovoltaic,6,0.2537975724560726
60929,Solar Photovoltaic,6,0.2537975724560726
60930,Solar Photovoltaic,5,0.26753870312354816
60934,Solar Photovoltaic,9,0.22047669886675608
60935,Solar Photovoltaic,9,0.22047669886675608
60936,Solar Photovoltaic,9,0.22047669886675608
60937,Solar Photovoltaic,8,0.23163275150342633
60938,Solar Photovoltaic,9,0.22047669886675608
60939,Solar Photovoltaic,9,0.22047669886675608
60940,Solar Photovoltaic,9,0.22047669886675608
60941,Solar Photovoltaic,9,0.22047669886675608
60942,Solar Photovoltaic,9,0.22047669886675608
60943,Solar Photovoltaic,9,0.22047669886675608
60944,Solar Photovoltaic,9,0.22047669886675608
60945,Solar Photovoltaic,9,0.22047669886675608
60947,Solar Photovoltaic,1,0.3202687659970471
60948,Solar Photovoltaic,6,0.2537975724560726
60949,Solar Photovoltaic,6,0.2537975724560726
60950,Solar Photovoltaic,6,0.2537975724560726
60951,Solar Photovoltaic,8,0.23163275150342633
60953,Solar Photovoltaic,2,0.30974988165310763
60954,Solar Photovoltaic,10,0.20237932814438855
60955,Solar Photovoltaic,8,0.23163275150342633
60956,Solar Photovoltaic,6,0.2537975724560726
60957,Solar Photovoltaic,9,0.22047669886675608
60958,Solar Photovoltaic,9,0.22047669886675608
60961,Solar Photovoltaic,6,0.2537975724560726
60962,Solar Photovoltaic,9,0.22047669886675608
60963,Solar Photovoltaic,6,0.2537975724560726
60964,Solar Photovoltaic,1,0.3202687659970471
60965,Solar Photovoltaic,6,0.2537975724560726
60966,Solar Photovoltaic,9,0.22047669886675608
60967,Solar Photovoltaic,10,0.20237932814438855
60968,Solar Photovoltaic,7,0.2408794703868765
60969,Solar Photovoltaic,6,0.2537975724560726
60970,Solar Photovoltaic,6,0.2537975724560726
60971,Solar Photovoltaic,9,0.22047669886675608
60972,Solar Photovoltaic,2,0.30974988165310763
60973,Solar Photovoltaic,2,0.30974988165310763
60975,Solar Photovoltaic,3,0.2953626825189205
60976,Solar Photovoltaic,6,0.2537975724560726
60978,Solar Photovoltaic,3,0.2953626825189205
60979,Solar Photovoltaic,3,0.2953626825189205
60980,Solar Photovoltaic,6,0.2537975724560726
