plant_id_eia,re_type,latitude,longitude
9991214,onshore_wind,30.5,-93.0
62038,onshore_wind,31.0,-101.0
55578,onshore_wind,31.5,-106.0
63100,onshore_wind,31.5,-97.0
66531,onshore_wind,32.0,-102.0
63342,onshore_wind,32.0,-101.5
65306,onshore_wind,32.0,-96.5
60271,onshore_wind,32.5,-101.0
59034,onshore_wind,33.5,-98.5
56304,onshore_wind,34.0,-104.0
60270,onshore_wind,34.0,-102.5
56945,onshore_wind,34.5,-106.0
58372,onshore_wind,34.5,-99.5
57294,onshore_wind,35.0,-118.0
58155,onshore_wind,35.5,-112.5
66110,onshore_wind,35.5,-112.0
63479,onshore_wind,35.5,-98.0
63114,onshore_wind,36.0,-114.5
59475,onshore_wind,36.0,-101.0
56493,onshore_wind,36.0,-84.5
62654,onshore_wind,36.5,-121.5
50712,onshore_wind,37.5,-121.5
60143,onshore_wind,37.5,-104.5
61957,onshore_wind,37.5,-99.0
59965,onshore_wind,38.0,-109.5
62445,onshore_wind,38.0,-104.5
57639,onshore_wind,38.0,-100.0
57151,onshore_wind,38.0,-80.5
60069,onshore_wind,38.5,-99.5
9990746,onshore_wind,39.0,-93.0
57315,onshore_wind,39.5,-103.5
64138,onshore_wind,39.5,-96.5
9991211,onshore_wind,39.5,-89.5
9990492,onshore_wind,39.5,-85.5
58105,onshore_wind,40.0,-122.0
56751,onshore_wind,40.0,-111.5
9990740,onshore_wind,40.0,-88.5
58008,onshore_wind,40.0,-88.0
56613,onshore_wind,41.0,-103.5
57174,onshore_wind,41.0,-102.5
58414,onshore_wind,41.0,-91.5
9990655,onshore_wind,41.0,-91.0
57094,onshore_wind,41.0,-88.5
9990295,onshore_wind,41.0,-87.0
56770,onshore_wind,41.0,-76.0
56093,onshore_wind,41.5,-110.5
56106,onshore_wind,41.5,-103.5
9990701,onshore_wind,41.5,-95.5
62956,onshore_wind,42.0,-98.0
62711,onshore_wind,42.0,-97.0
9990963,onshore_wind,42.0,-92.5
58044,onshore_wind,42.0,-91.0
59622,onshore_wind,42.0,-70.5
57761,onshore_wind,42.5,-112.5
58884,onshore_wind,42.5,-94.0
9990835,onshore_wind,42.5,-93.5
62894,onshore_wind,42.5,-75.5
7501,onshore_wind,42.5,-72.0
59736,onshore_wind,43.0,-100.5
56953,onshore_wind,43.0,-78.5
57890,onshore_wind,43.5,-111.5
9991024,onshore_wind,43.5,-94.5
9990265,onshore_wind,43.5,-91.0
9990289,onshore_wind,44.0,-98.5
58141,onshore_wind,44.0,-72.0
57354,onshore_wind,44.0,-69.0
9990889,onshore_wind,44.5,-95.5
9990793,onshore_wind,44.5,-90.5
9990470,onshore_wind,44.5,-88.0
57159,onshore_wind,45.5,-121.0
56468,onshore_wind,45.5,-120.5
56829,onshore_wind,45.5,-70.5
57320,onshore_wind,46.0,-120.0
55560,onshore_wind,46.0,-119.0
9991168,onshore_wind,46.0,-103.5
9990373,onshore_wind,46.0,-98.5
9990128,onshore_wind,46.5,-98.5
56448,onshore_wind,46.5,-68.0
57756,onshore_wind,47.0,-124.0
57530,onshore_wind,47.0,-117.5
9990473,onshore_wind,47.0,-100.0
57121,onshore_wind,47.5,-98.0
9990688,onshore_wind,47.5,-96.5
59200,onshore_wind,49.0,-99.5
9990241,onshore_wind,49.0,-98.5
66493,solar,27.0,-99.0
64300,solar,27.5,-81.0
65849,solar,29.0,-97.0
62542,solar,29.0,-81.5
66421,solar,29.5,-100.0
62945,solar,29.5,-95.5
64239,solar,30.0,-97.0
61022,solar,30.0,-82.0
63518,solar,30.5,-83.0
61388,solar,30.5,-81.5
61872,solar,31.0,-99.5
65911,solar,31.0,-87.5
64469,solar,31.0,-86.5
59864,solar,31.0,-81.5
66397,solar,31.5,-97.5
66396,solar,31.5,-96.5
64132,solar,32.0,-94.5
62883,solar,32.0,-83.0
58011,solar,32.0,-81.0
64028,solar,32.5,-117.0
64892,solar,32.5,-98.0
60063,solar,32.5,-82.0
60658,solar,32.5,-81.0
60583,solar,33.0,-85.5
63282,solar,33.0,-83.5
63756,solar,33.0,-80.5
65614,solar,33.5,-118.0
60405,solar,33.5,-104.5
62772,solar,33.5,-96.0
64529,solar,33.5,-88.5
65955,solar,33.5,-79.0
60035,solar,34.0,-117.5
63300,solar,34.0,-115.5
63798,solar,34.0,-114.0
66248,solar,34.0,-96.5
65892,solar,34.0,-83.0
62229,solar,34.0,-79.0
62249,solar,34.5,-100.0
59556,solar,34.5,-85.0
58226,solar,35.0,-116.5
63579,solar,35.0,-106.0
64262,solar,35.0,-91.0
66369,solar,35.0,-90.0
62462,solar,35.0,-88.0
57650,solar,35.5,-119.0
58646,solar,35.5,-115.5
66382,solar,35.5,-80.0
63783,solar,36.0,-116.0
63806,solar,36.0,-79.5
59939,solar,36.5,-120.5
65528,solar,36.5,-119.5
60412,solar,36.5,-118.0
59826,solar,36.5,-116.5
65641,solar,36.5,-88.5
65462,solar,36.5,-79.5
64683,solar,36.5,-76.0
59525,solar,37.0,-121.0
62805,solar,37.0,-113.5
61268,solar,37.0,-110.5
62470,solar,37.5,-113.5
60008,solar,37.5,-106.0
61135,solar,37.5,-92.5
61375,solar,37.5,-76.0
61798,solar,38.0,-97.0
64659,solar,38.0,-84.5
60127,solar,38.0,-75.5
63089,solar,38.0,-75.0
59872,solar,38.5,-122.0
65127,solar,38.5,-90.0
62260,solar,39.0,-106.0
66131,solar,39.0,-87.0
59989,solar,39.0,-86.0
63846,solar,39.0,-75.5
63906,solar,39.5,-119.5
58319,solar,39.5,-119.0
50765,solar,39.5,-118.5
64740,solar,39.5,-111.0
58391,solar,39.5,-86.5
58556,solar,39.5,-86.0
65031,solar,40.0,-85.5
64635,solar,40.0,-83.5
63790,solar,40.5,-90.0
61818,solar,40.5,-81.5
64101,solar,40.5,-75.5
63451,solar,40.5,-74.5
64439,solar,41.5,-88.5
59374,solar,42.0,-121.0
59853,solar,42.0,-86.0
