plant_id_eia,plant_name_eia,generator_id,technology_description,capacity_mw,latitude,longitude,balancing_authority_code_eia,state
9990326,G775,1,onshore_wind,200,39.831435,-85.765798,MISO,IL
9990327,G776,1,onshore_wind,200,44.388943,-96.775495,MISO,SD
9990328,G777,1,onshore_wind,20,45.586837,-95.98635,MISO,MN
9990329,G778,1,onshore_wind,5.9,45.943024,-95.975288,MISO,MN
9990330,G779,1,onshore_wind,259.9,44.042331,-92.848214,MISO,MN
9990331,G781,1,onshore_wind,150,46.103995,-102.517517,MISO,ND
9990332,G782,1,onshore_wind,42,45.280767,-95.659077,MISO,MN
9990333,G783,1,onshore_wind,122,48.227309,-101.550226,MISO,ND
9990334,G784,1,onshore_wind,122,48.227309,-101.550226,MISO,ND
9990335,G789,1,onshore_wind,20,45.579135,-95.432801,MISO,MN
9990336,G790,1,onshore_wind,150,42.751676,-93.257571,MISO,IA
9990337,G792,1,onshore_wind,50,45.422521,-96.38442,MISO,MN
9990338,G793,1,onshore_wind,100,42.686352,-89.071451,MISO,WI
9990339,G796,1,onshore_wind,300,44.042331,-92.848214,MISO,MN
9990340,G797,1,onshore_wind,30,43.695879,-94.549583,MISO,MN
9990341,G798,1,onshore_wind,150,42.046608,-93.435588,MISO,IA
9990342,G799,1,onshore_wind,120,46.939526,-88.740235,MISO,MI
9990343,G801,1,onshore_wind,50,43.695416,-92.749276,MISO,MN
9990344,G802,1,onshore_wind,125,45.184093,-96.776067,MISO,SD
9990345,G803,1,onshore_wind,150,44.777032,-96.656055,MISO,SD
9990346,G804,1,onshore_wind,250,44.777032,-96.656055,MISO,SD
9990347,G805,1,onshore_wind,300,45.586837,-95.98635,MISO,MN
9990348,G810,1,onshore_wind,101,46.106774,-103.512663,MISO,ND
9990349,G812,1,onshore_wind,20,45.579135,-95.432801,MISO,MN
9990350,G813,1,onshore_wind,100,42.042178,-93.941909,MISO,IA
9990351,G817,1,onshore_wind,5.9,45.943024,-95.975288,MISO,MN
9990352,G818,1,onshore_wind,20,45.943024,-95.975288,MISO,MN
9990353,G821,1,onshore_wind,199.5,46.905613,-96.495241,MISO,MN
9990354,G823,1,onshore_wind,300,44.727888,-95.919791,MISO,MN
9990355,G824,1,onshore_wind,200,43.695416,-92.749276,MISO,MN
9990356,G825,1,onshore_wind,100,44.388943,-96.775495,MISO,SD
9990357,G826,1,onshore_wind,200,43.691893,-95.129111,MISO,MN
9990358,G827,1,onshore_wind,100,43.676966,-96.774725,MISO,SD
9990359,G828,1,onshore_wind,76,44.037017,-94.054668,MISO,MN
9990360,G829,1,onshore_wind,100,43.676966,-96.774725,MISO,SD
9990361,G830,1,onshore_wind,99,48.229672,-100.637095,MISO,ND
9990362,G831,1,onshore_wind,50,44.027575,-95.761347,MISO,MN
9990363,G835,1,onshore_wind,200,40.306516,-86.463556,MISO,IN
9990364,G836,1,onshore_wind,200,40.306516,-86.463556,MISO,IN
9990365,G841,1,onshore_wind,250,44.440121,-95.840616,MISO,MN
9990366,G842,1,onshore_wind,250,44.440121,-95.840616,MISO,MN
9990367,G843,1,onshore_wind,100,46.425242,-95.713536,MISO,MN
9990368,G845,1,onshore_wind,60,48.788643,-98.447467,MISO,ND
9990369,G846,1,onshore_wind,4,46.905613,-96.495241,MISO,MN
9990370,G850,1,onshore_wind,250,44.027575,-95.761347,MISO,MN
9990371,G851,1,onshore_wind,250,44.027575,-95.761347,MISO,MN
9990372,G852,1,onshore_wind,300,44.042331,-92.848214,MISO,MN
9990373,G853,1,onshore_wind,600,46.115778,-98.478795,MISO,ND
9990374,G854,1,onshore_wind,150,43.990884,-86.267525,MISO,MI
9990375,G855,1,onshore_wind,200,43.672833,-93.313816,MISO,MN
9990376,G857,1,onshore_wind,400,43.695416,-92.749276,MISO,MN
9990377,G858,1,onshore_wind,38,45.555452,-94.603238,MISO,MN
9990378,G859,1,onshore_wind,600,46.905613,-96.495241,MISO,MN
